89.566589,X,Y,Z
89.567543,X,Y,Z
89.568497,X,Y,Z
89.569450,X,Y,Z
89.570396,X,Y,Z
89.571342,X,Y,Z
89.572304,X,Y,Z
89.573250,X,Y,Z
89.574211,X,Y,Z
89.575157,X,Y,Z
89.576111,X,Y,Z
89.577065,X,Y,Z
89.578018,X,Y,Z
89.578979,X,Y,Z
89.579918,X,Y,Z
89.580879,X,Y,Z
89.581833,X,Y,Z
89.582787,X,Y,Z
89.583733,X,Y,Z
89.584686,X,Y,Z
89.585640,X,Y,Z
89.586594,X,Y,Z
89.587547,X,Y,Z
89.588493,X,Y,Z
89.589447,X,Y,Z
89.590401,X,Y,Z
89.591347,X,Y,Z
89.592300,X,Y,Z
89.593246,X,Y,Z
89.594208,X,Y,Z
89.595161,X,Y,Z
89.596115,X,Y,Z
89.597061,X,Y,Z
89.598015,X,Y,Z
89.598976,X,Y,Z
89.599922,X,Y,Z
89.600883,X,Y,Z
89.601830,X,Y,Z
89.602783,X,Y,Z
89.603737,X,Y,Z
89.604691,X,Y,Z
89.605637,X,Y,Z
89.606590,X,Y,Z
89.607544,X,Y,Z
89.608498,X,Y,Z
89.609451,X,Y,Z
89.610397,X,Y,Z
89.611343,X,Y,Z
89.612305,X,Y,Z
89.613251,X,Y,Z
89.614204,X,Y,Z
89.615158,X,Y,Z
89.616112,X,Y,Z
89.617065,X,Y,Z
89.618019,X,Y,Z
89.618973,X,Y,Z
89.619919,X,Y,Z
89.620880,X,Y,Z
89.621834,X,Y,Z
89.622787,X,Y,Z
89.623734,X,Y,Z
89.624687,X,Y,Z
89.625641,X,Y,Z
89.626595,X,Y,Z
89.627541,X,Y,Z
89.628494,X,Y,Z
89.629448,X,Y,Z
89.630402,X,Y,Z
89.631348,X,Y,Z
89.632301,X,Y,Z
89.633247,X,Y,Z
89.634209,X,Y,Z
89.635162,X,Y,Z
89.636108,X,Y,Z
89.637062,X,Y,Z
89.638016,X,Y,Z
89.638977,X,Y,Z
89.639923,X,Y,Z
89.640877,X,Y,Z
89.641830,X,Y,Z
89.642784,X,Y,Z
89.643738,X,Y,Z
89.644691,X,Y,Z
89.645638,X,Y,Z
89.646591,X,Y,Z
89.647545,X,Y,Z
89.648499,X,Y,Z
89.649445,X,Y,Z
89.650398,X,Y,Z
89.651344,X,Y,Z
89.652306,X,Y,Z
89.653252,X,Y,Z
89.654205,X,Y,Z
89.655159,X,Y,Z
89.656113,X,Y,Z
89.657066,X,Y,Z
89.658012,X,Y,Z
89.658974,X,Y,Z
89.659920,X,Y,Z
89.660881,X,Y,Z
89.661835,X,Y,Z
89.662781,X,Y,Z
89.663734,X,Y,Z
89.664688,X,Y,Z
89.665642,X,Y,Z
89.666595,X,Y,Z
89.667542,X,Y,Z
89.668495,X,Y,Z
89.669449,X,Y,Z
89.670403,X,Y,Z
89.671349,X,Y,Z
89.672302,X,Y,Z
89.673248,X,Y,Z
89.674210,X,Y,Z
89.675163,X,Y,Z
89.676109,X,Y,Z
89.677063,X,Y,Z
89.678017,X,Y,Z
89.678978,X,Y,Z
89.679916,X,Y,Z
89.680878,X,Y,Z
89.681831,X,Y,Z
89.682785,X,Y,Z
89.683739,X,Y,Z
89.684685,X,Y,Z
89.685638,X,Y,Z
89.686592,X,Y,Z
89.687546,X,Y,Z
89.688499,X,Y,Z
89.689445,X,Y,Z
89.690399,X,Y,Z
89.691345,X,Y,Z
89.692307,X,Y,Z
89.693245,X,Y,Z
89.694206,X,Y,Z
89.695160,X,Y,Z
89.696114,X,Y,Z
89.697067,X,Y,Z
89.698013,X,Y,Z
89.698975,X,Y,Z
89.699921,X,Y,Z
89.700882,X,Y,Z
89.701836,X,Y,Z
89.702782,X,Y,Z
89.703735,X,Y,Z
89.704689,X,Y,Z
89.705643,X,Y,Z
89.706589,X,Y,Z
89.707542,X,Y,Z
89.708496,X,Y,Z
89.709450,X,Y,Z
89.710403,X,Y,Z
89.711342,X,Y,Z
89.712303,X,Y,Z
89.713249,X,Y,Z
89.714211,X,Y,Z
89.715157,X,Y,Z
89.716110,X,Y,Z
89.717064,X,Y,Z
